  2022-02-25 11:14:47,625 |      DEBUG |            querys.py | Database was created...
  2022-02-25 11:14:47,820 |      DEBUG |            querys.py | Tables were created...
  2022-02-25 11:17:45,147 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:17:45,149 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:17:47,485 |      DEBUG |            querys.py | Database was created...
  2022-02-25 11:17:47,664 |      DEBUG |            querys.py | Tables were created...
  2022-02-25 11:28:19,659 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:28:19,661 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:30:19,414 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:30:19,416 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:30:28,953 |      DEBUG |     download_data.py | Urls were saved...
  2022-02-25 11:30:34,948 |      DEBUG |     download_data.py | dataframes list were created...
  2022-02-25 11:30:34,950 |      DEBUG |     download_data.py | Directory... museo\2022-02\ already exists
  2022-02-25 11:30:35,000 |       INFO |     download_data.py | museo-25-02-2022.csv were saved...
  2022-02-25 11:30:35,001 |      DEBUG |     download_data.py | Directory... cine\2022-02\ already exists
  2022-02-25 11:30:35,018 |       INFO |     download_data.py | cine-25-02-2022.csv were saved...
  2022-02-25 11:30:35,019 |      DEBUG |     download_data.py | Directory... biblioteca_popular\2022-02\ already exists
  2022-02-25 11:30:35,084 |       INFO |     download_data.py | biblioteca_popular-25-02-2022.csv were saved...
  2022-02-25 11:34:26,412 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:34:26,413 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:34:27,470 |      DEBUG | data_preprocessing.p | Directory...data_complete\2022-02\was created
  2022-02-25 11:34:27,487 |       INFO | data_preprocessing.p | info_completa.csv, info_cine.csv were created
  2022-02-25 11:34:27,487 |      DEBUG | data_preprocessing.p | Preprocessing is complete
  2022-02-25 11:36:24,950 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:36:24,952 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:39:50,302 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:39:50,304 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:40:30,060 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:40:30,062 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:41:32,411 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:41:32,413 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:41:33,330 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:41:33,757 |       INFO | manage_data_collecti | All data was inserted in the database
  2022-02-25 11:49:53,743 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:49:53,745 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:49:54,642 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:49:55,098 |       INFO | manage_data_collecti | All data was inserted in the database
  2022-02-25 11:50:20,053 |      DEBUG | connection_sqlalchem | Connection simple successfully....
  2022-02-25 11:50:20,055 |      DEBUG | connection_sqlalchem | Connection full successfully....
  2022-02-25 11:50:21,096 |      DEBUG |            querys.py | Views of registers were created...
  2022-02-25 11:50:21,102 |      DEBUG |            querys.py | View of cine were created...
